ℹ️ [19:11:56] ════════════════════════════════════════════════════════════
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
⏳ [19:11:57] ⏳ Tentativa 109/1000 (18 min decorridos)
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
⏳ [19:11:57] ⏳ Tentativa 121/1000 (20 min decorridos)
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:57] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
⏳ [19:11:58] ⏳ Tentativa 133/1000 (22 min decorridos)
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
⏳ [19:11:58] ⏳ Tentativa 145/1000 (24 min decorridos)
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
❌ [19:11:58] Variáveis de ambiente não configuradas
